# p_id, survived, cabin_class, female, fare
0,0,3,0,7.250
1,1,1,1,71.283
2,1,3,1,7.925
3,1,1,1,53.100
4,0,3,0,8.050
5,0,3,0,8.458
6,0,1,0,51.862
7,0,3,0,21.075
8,1,3,1,11.133
9,1,2,1,30.071
10,1,3,1,16.700
11,1,1,1,26.550
12,0,3,0,8.050
13,0,3,0,31.275
14,0,3,1,7.854
15,1,2,1,16.000
16,0,3,0,29.125
17,1,2,0,13.000
18,0,3,1,18.000
19,1,3,1,7.225
20,0,2,0,26.000
21,1,2,0,13.000
22,1,3,1,8.029
23,1,1,0,35.500
24,0,3,1,21.075
25,1,3,1,31.388
26,0,3,0,7.225
27,0,1,0,263.000
28,1,3,1,7.879
29,0,3,0,7.896
30,0,1,0,27.721
31,1,1,1,146.521
32,1,3,1,7.750
33,0,2,0,10.500
34,0,1,0,82.171
35,0,1,0,52.000
36,1,3,0,7.229
37,0,3,0,8.050
38,0,3,1,18.000
39,1,3,1,11.242
40,0,3,1,9.475
41,0,2,1,21.000
42,0,3,0,7.896
43,1,2,1,41.579
44,1,3,1,7.879
45,0,3,0,8.050
46,0,3,0,15.500
47,1,3,1,7.750
48,0,3,0,21.679
49,0,3,1,17.800
50,0,3,0,39.688
51,0,3,0,7.800
52,1,1,1,76.729
53,1,2,1,26.000
54,0,1,0,61.979
55,1,1,0,35.500
56,1,2,1,10.500
57,0,3,0,7.229
58,1,2,1,27.750
59,0,3,0,46.900
60,0,3,0,7.229
61,1,1,1,80.000
62,0,1,0,83.475
63,0,3,0,27.900
64,0,1,0,27.721
65,1,3,0,15.246
66,1,2,1,10.500
67,0,3,0,8.158
68,1,3,1,7.925
69,0,3,0,8.663
70,0,2,0,10.500
71,0,3,1,46.900
72,0,2,0,73.500
73,0,3,0,14.454
74,1,3,0,56.496
75,0,3,0,7.650
76,0,3,0,7.896
77,0,3,0,8.050
78,1,2,0,29.000
79,1,3,1,12.475
80,0,3,0,9.000
81,1,3,0,9.500
82,1,3,1,7.787
83,0,1,0,47.100
84,1,2,1,10.500
85,1,3,1,15.850
86,0,3,0,34.375
87,0,3,0,8.050
88,1,1,1,263.000
89,0,3,0,8.050
90,0,3,0,8.050
91,0,3,0,7.854
92,0,1,0,61.175
93,0,3,0,20.575
94,0,3,0,7.250
95,0,3,0,8.050
96,0,1,0,34.654
97,1,1,0,63.358
98,1,2,1,23.000
99,0,2,0,26.000
100,0,3,1,7.896
101,0,3,0,7.896
102,0,1,0,77.287
103,0,3,0,8.654
104,0,3,0,7.925
105,0,3,0,7.896
106,1,3,1,7.650
107,1,3,0,7.775
108,0,3,0,7.896
109,1,3,1,24.150
110,0,1,0,52.000
111,0,3,1,14.454
112,0,3,0,8.050
113,0,3,1,9.825
114,0,3,1,14.458
115,0,3,0,7.925
116,0,3,0,7.750
117,0,2,0,21.000
118,0,1,0,247.521
119,0,3,1,31.275
120,0,2,0,73.500
121,0,3,0,8.050
122,0,2,0,30.071
123,1,2,1,13.000
124,0,1,0,77.287
125,1,3,0,11.242
126,0,3,0,7.750
127,1,3,0,7.142
128,1,3,1,22.358
129,0,3,0,6.975
130,0,3,0,7.896
131,0,3,0,7.050
132,0,3,1,14.500
133,1,2,1,26.000
134,0,2,0,13.000
135,0,2,0,15.046
136,1,1,1,26.283
137,0,1,0,53.100
138,0,3,0,9.217
139,0,1,0,79.200
140,0,3,1,15.246
141,1,3,1,7.750
142,1,3,1,15.850
143,0,3,0,6.750
144,0,2,0,11.500
145,0,2,0,36.750
146,1,3,0,7.796
147,0,3,1,34.375
148,0,2,0,26.000
149,0,2,0,13.000
150,0,2,0,12.525
151,1,1,1,66.600
152,0,3,0,8.050
153,0,3,0,14.500
154,0,3,0,7.312
155,0,1,0,61.379
156,1,3,1,7.733
157,0,3,0,8.050
158,0,3,0,8.663
159,0,3,0,69.550
160,0,3,0,16.100
161,1,2,1,15.750
162,0,3,0,7.775
163,0,3,0,8.663
164,0,3,0,39.688
165,1,3,0,20.525
166,1,1,1,55.000
167,0,3,1,27.900
168,0,1,0,25.925
169,0,3,0,56.496
170,0,1,0,33.500
171,0,3,0,29.125
172,1,3,1,11.133
173,0,3,0,7.925
174,0,1,0,30.696
175,0,3,0,7.854
176,0,3,0,25.467
177,0,1,1,28.712
178,0,2,0,13.000
179,0,3,0,0.000
180,0,3,1,69.550
181,0,2,0,15.050
182,0,3,0,31.388
183,1,2,0,39.000
184,1,3,1,22.025
185,0,1,0,50.000
186,1,3,1,15.500
187,1,1,0,26.550
188,0,3,0,15.500
189,0,3,0,7.896
190,1,2,1,13.000
191,0,2,0,13.000
192,1,3,1,7.854
193,1,2,0,26.000
194,1,1,1,27.721
195,1,1,1,146.521
196,0,3,0,7.750
197,0,3,0,8.404
198,1,3,1,7.750
199,0,2,1,13.000
200,0,3,0,9.500
201,0,3,0,69.550
202,0,3,0,6.496
203,0,3,0,7.225
204,1,3,0,8.050
205,0,3,1,10.462
206,0,3,0,15.850
207,1,3,0,18.788
208,1,3,1,7.750
209,1,1,0,31.000
210,0,3,0,7.050
211,1,2,1,21.000
212,0,3,0,7.250
213,0,2,0,13.000
214,0,3,0,7.750
215,1,1,1,113.275
216,1,3,1,7.925
217,0,2,0,27.000
218,1,1,1,76.292
219,0,2,0,10.500
220,1,3,0,8.050
221,0,2,0,13.000
